iteration,constellation,number_of_satellites,number_of_ground_stations,subscribers_low,subscribers_baseline,subscribers_high,satellite_manufacturing,satellite_launch_cost,ground_station_cost,regulation_fees,fiber_infrastructure_cost,ground_station_energy,subscriber_acquisition,staff_costs,maintenance_costs,capex_costs,opex_costs,discount_rate,assessment_period_year
31,OneWeb,720,44,500000,800000,1000000,338910480,109649520,22674828,1144000,1654620,33440,3247808,199174800,2424591,472889448,903873615.3297166,7,5
32,OneWeb,720,44,500000,800000,1000000,352332720,117990720,25830112,1180800,2396196,32956,3351695,261897600,2532925,498549748,1180142173.8507,7,5
33,OneWeb,720,44,500000,800000,1000000,339564240,107095680,20876020,1212900,2391972,34716,3349849,134583600,2462341,469927912,621419545.2070899,7,5
34,OneWeb,720,44,500000,800000,1000000,250085520,114523200,23533884,1171000,1800084,30360,3308439,248383200,2565363,389942688,1120749801.3242362,7,5
35,OneWeb,720,44,500000,800000,1000000,252153360,115860240,25799004,1223300,2056824,28908,3260812,130641600,2545730,395869428,604120525.5390223,7,5
36,OneWeb,720,44,500000,800000,1000000,264722400,110746080,22618068,1228600,1602348,29216,3211269,281904000,2549700,399688896,1267565294.6009064,7,5
37,OneWeb,720,44,500000,800000,1000000,352711440,107537760,22647724,1255600,1986688,28556,3238940,298399200,2387153,484883612,1339457051.3575988,7,5
38,OneWeb,720,44,500000,800000,1000000,278602560,117372240,25690808,1139100,1421024,34892,3372677,259022400,2472377,423086632,1167180026.5771394,7,5
39,OneWeb,720,44,500000,800000,1000000,233880480,119939040,25419724,1231700,1734744,30624,3356038,227226000,2446600,380973988,1027883945.7741618,7,5
40,OneWeb,720,44,500000,800000,1000000,263111040,107555760,21403624,1156100,2188604,30932,3213368,128571600,2437380,394259028,594069556.1668011,7,5
41,OneWeb,720,44,500000,800000,1000000,341776800,117234720,24027388,1145400,1804352,28028,3301507,289290000,2391072,484843260,1299298967.579809,7,5
42,OneWeb,720,44,500000,800000,1000000,354306960,119736000,22174196,1199900,2300232,34320,3323922,274485600,2577195,498517388,1235530544.8623178,7,5
43,OneWeb,720,44,500000,800000,1000000,319212000,116799120,21141824,1177900,1438580,31108,3343744,249652800,2442539,458591524,1125969393.7851777,7,5
44,OneWeb,720,44,500000,800000,1000000,294185520,107019360,23855216,1126400,1996940,27324,3214064,179907600,2554177,427057036,819660770.6082585,7,5
45,OneWeb,720,44,500000,800000,1000000,354006720,110737440,23137532,1274900,1441352,29216,3257605,164803200,2538221,489323044,754175399.6039164,7,5
46,OneWeb,720,44,500000,800000,1000000,220098240,110510640,23539912,1235100,1564332,29172,3328587,261385200,2579387,355713124,1178218250.0984025,7,5
47,OneWeb,720,44,500000,800000,1000000,228144240,118603440,20416924,1211000,1661000,35156,3305811,150452400,2521532,368825604,691099397.2773994,7,5
48,OneWeb,720,44,500000,800000,1000000,321390000,118470240,24595340,1125400,1433872,28336,3235156,237745200,2469688,465889452,1073128456.9896255,7,5
49,OneWeb,720,44,500000,800000,1000000,255635280,113220000,23954040,1262600,2137564,32296,3217804,215610000,2422503,394946884,976352819.6736493,7,5
50,OneWeb,720,44,500000,800000,1000000,248405760,106668720,25398780,1245700,2659712,29964,3391910,136635600,2414552,383132972,630520025.2605982,7,5
51,OneWeb,720,44,500000,800000,1000000,325911600,112058640,20417496,1254400,1545192,28248,3269337,281818800,2535344,459932928,1267492221.2102187,7,5
52,OneWeb,720,44,500000,800000,1000000,353430000,106225200,22510532,1270100,1895388,31460,3249276,298514400,2528582,484061120,1340704638.235388,7,5
53,OneWeb,720,44,500000,800000,1000000,294171840,113397120,20032056,1201900,2630672,30052,3346828,217747200,2522992,430231688,986459940.962742,7,5
54,OneWeb,720,44,500000,800000,1000000,251833680,112350960,22098428,1265400,1735888,34408,3334676,147012000,2519566,388018956,676359029.9245803,7,5
55,OneWeb,720,44,500000,800000,1000000,341533440,115009920,24881868,1274600,2702920,31900,3357009,139369200,2547571,484128148,643078654.391634,7,5
56,OneWeb,720,44,500000,800000,1000000,346006080,119717280,22857032,1219400,2225080,30976,3353865,242901600,2474972,490805472,1096718636.6936035,7,5
57,OneWeb,720,44,500000,800000,1000000,255817440,107458560,24660284,1187100,2202332,27852,3264596,192504000,2535665,390138616,875332937.1544235,7,5
58,OneWeb,720,44,500000,800000,1000000,343581120,117533520,21352144,1259200,1618980,26928,3219614,198040800,2445354,484085764,899342753.6150823,7,5
59,OneWeb,720,44,500000,800000,1000000,298934640,112482720,21485024,1136800,1657876,34540,3370614,223453200,2548265,434560260,1011442682.9404792,7,5
60,OneWeb,720,44,500000,800000,1000000,240261120,107455680,24481292,1311100,1471624,30976,3221480,299882400,2420974,373669716,1346290049.5325274,7,5
61,OneWeb,720,44,500000,800000,1000000,259901280,111083760,26325684,1299700,1894420,31988,3373803,189418800,2460452,399205144,862458797.3386678,7,5
62,OneWeb,720,44,500000,800000,1000000,293726880,107948160,23863444,1209500,2414412,33968,3204290,216531600,2481538,427952896,980370158.3107145,7,5
63,OneWeb,720,44,500000,800000,1000000,269352000,109713600,21088628,1210800,1721676,35024,3214485,221346000,2519141,401875904,1001711984.3771911,7,5
64,OneWeb,720,44,500000,800000,1000000,358164720,113292720,21924672,1190500,2739220,34276,3265873,170104800,2419792,496121332,776603257.8808745,7,5
65,OneWeb,720,44,500000,800000,1000000,319464720,106953120,22157872,1211100,1666016,28248,3361981,229858800,2450046,450241728,1039374986.5308384,7,5
