constellation,subscribers_low,subscribers_baseline,subscribers_high,capex_costs,opex_costs,total_cost_ownership,assessment_period_year,capex_scenario,opex_scenario
Starlink,2500000,3500000,4500000,1984070850.0,431540500,3923464006.533109,5,High,Baseline
Starlink,2500000,3500000,4500000,2426570850.0,431530500,4365920134.420545,5,High,Baseline
Starlink,2500000,3500000,4500000,2426570850.0,431535500,4365942070.476827,5,High,Baseline
Starlink,2500000,3500000,4500000,2426570850.0,431540500,4365964006.53311,5,High,Baseline
Starlink,2500000,3500000,4500000,2869070850.0,431530500,4808420134.420545,5,High,Baseline
Starlink,2500000,3500000,4500000,2869070850.0,431535500,4808442070.476827,5,High,Baseline
Starlink,2500000,3500000,4500000,2869070850.0,431540500,4808464006.53311,5,High,Baseline
Starlink,2500000,3500000,4500000,1984070850.0,481530500,4142780697.243741,5,High,Baseline
Starlink,2500000,3500000,4500000,1984070850.0,481535500,4142802633.300023,5,High,Baseline
Starlink,2500000,3500000,4500000,1984070850.0,481540500,4142824569.3563056,5,High,Baseline
Starlink,2500000,3500000,4500000,2426570850.0,481530500,4585280697.243741,5,High,Baseline
Starlink,2500000,3500000,4500000,2426570850.0,481535500,4585302633.300023,5,High,Baseline
Starlink,2500000,3500000,4500000,2426570850.0,481540500,4585324569.356306,5,High,Baseline
Starlink,2500000,3500000,4500000,2869070850.0,481530500,5027780697.243741,5,High,Baseline
Starlink,2500000,3500000,4500000,2869070850.0,481535500,5027802633.300023,5,High,Baseline
Starlink,2500000,3500000,4500000,2869070850.0,481540500,5027824569.356306,5,High,Baseline
Starlink,2500000,3500000,4500000,1984070850.0,381630500,3704498292.722995,5,High,High
Starlink,2500000,3500000,4500000,1984070850.0,381635500,3704520228.779277,5,High,High
Starlink,2500000,3500000,4500000,1984070850.0,381640500,3704542164.8355594,5,High,High
Starlink,2500000,3500000,4500000,2426570850.0,381630500,4146998292.722995,5,High,High
Starlink,2500000,3500000,4500000,2426570850.0,381635500,4147020228.779277,5,High,High
Starlink,2500000,3500000,4500000,2426570850.0,381640500,4147042164.8355594,5,High,High
Starlink,2500000,3500000,4500000,2869070850.0,381630500,4589498292.722995,5,High,High
Starlink,2500000,3500000,4500000,2869070850.0,381635500,4589520228.779277,5,High,High
Starlink,2500000,3500000,4500000,2869070850.0,381640500,4589542164.83556,5,High,High
Starlink,2500000,3500000,4500000,1984070850.0,431630500,3923858855.5461907,5,High,High
Starlink,2500000,3500000,4500000,1984070850.0,431635500,3923880791.6024733,5,High,High
Starlink,2500000,3500000,4500000,1984070850.0,431640500,3923902727.6587553,5,High,High
Starlink,2500000,3500000,4500000,2426570850.0,431630500,4366358855.54619,5,High,High
Starlink,2500000,3500000,4500000,2426570850.0,431635500,4366380791.602473,5,High,High
Starlink,2500000,3500000,4500000,2426570850.0,431640500,4366402727.658755,5,High,High
Starlink,2500000,3500000,4500000,2869070850.0,431630500,4808858855.54619,5,High,High
Starlink,2500000,3500000,4500000,2869070850.0,431635500,4808880791.602473,5,High,High
Starlink,2500000,3500000,4500000,2869070850.0,431640500,4808902727.658755,5,High,High
Starlink,2500000,3500000,4500000,1984070850.0,481630500,4143219418.369387,5,High,High
Starlink,2500000,3500000,4500000,1984070850.0,481635500,4143241354.4256697,5,High,High
Starlink,2500000,3500000,4500000,1984070850.0,481640500,4143263290.4819517,5,High,High
Starlink,2500000,3500000,4500000,2426570850.0,481630500,4585719418.369387,5,High,High
Starlink,2500000,3500000,4500000,2426570850.0,481635500,4585741354.42567,5,High,High
Starlink,2500000,3500000,4500000,2426570850.0,481640500,4585763290.481952,5,High,High
Starlink,2500000,3500000,4500000,2869070850.0,481630500,5028219418.369387,5,High,High
Starlink,2500000,3500000,4500000,2869070850.0,481635500,5028241354.42567,5,High,High
Starlink,2500000,3500000,4500000,2869070850.0,481640500,5028263290.481952,5,High,High
