constellation,number_of_satellites,constellation_capacity_mbps,satellite_coverage_area_km,capacity_per_user,subscribers,monthly_gb,user_per_area,cnr_scenario,subscriber_scenario
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,20200791.3696,115254.2373,28.85827338514286,3500000,389.58669069942863,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,73365039.396,115254.2373,104.80719913714286,3500000,1414.8971883514287,0.010242903130347399,high,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,60964789.8924,115254.2373,87.09255698914285,3500000,1175.7495193534285,0.010242903130347399,high,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,60964789.8924,115254.2373,87.09255698914285,3500000,1175.7495193534285,0.010242903130347399,high,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,31632748.7796,115254.2373,45.18964111371428,3500000,610.0601550351428,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,20200791.3696,115254.2373,28.85827338514286,3500000,389.58669069942863,0.010242903130347399,low,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,20200791.3696,115254.2373,28.85827338514286,3500000,389.58669069942863,0.010242903130347399,low,subscribers_baseline
Starlink,4425,31632748.7796,115254.2373,45.18964111371428,3500000,610.0601550351428,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,84319026.9264,115254.2373,120.45575275200001,3500000,1626.152662152,0.010242903130347399,high,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,67460153.9364,115254.2373,96.37164848057142,3500000,1301.0172544877144,0.010242903130347399,high,subscribers_baseline
Starlink,4425,31632748.7796,115254.2373,45.18964111371428,3500000,610.0601550351428,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,31632748.7796,115254.2373,45.18964111371428,3500000,610.0601550351428,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,31632748.7796,115254.2373,45.18964111371428,3500000,610.0601550351428,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,67460153.9364,115254.2373,96.37164848057142,3500000,1301.0172544877144,0.010242903130347399,high,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,20200791.3696,115254.2373,28.85827338514286,3500000,389.58669069942863,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,20200791.3696,115254.2373,28.85827338514286,3500000,389.58669069942863,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,31632748.7796,115254.2373,45.18964111371428,3500000,610.0601550351428,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,70166837.8656,115254.2373,100.238339808,3500000,1353.2175874079999,0.010242903130347399,high,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,31632748.7796,115254.2373,45.18964111371428,3500000,610.0601550351428,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,70166837.8656,115254.2373,100.238339808,3500000,1353.2175874079999,0.010242903130347399,high,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,20200791.3696,115254.2373,28.85827338514286,3500000,389.58669069942863,0.010242903130347399,low,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,70166837.8656,115254.2373,100.238339808,3500000,1353.2175874079999,0.010242903130347399,high,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,31632748.7796,115254.2373,45.18964111371428,3500000,610.0601550351428,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,20200791.3696,115254.2373,28.85827338514286,3500000,389.58669069942863,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,20200791.3696,115254.2373,28.85827338514286,3500000,389.58669069942863,0.010242903130347399,low,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,38728439.1216,115254.2373,55.326341602285716,3500000,746.9056116308572,0.010242903130347399,baseline,subscribers_baseline
Starlink,4425,15470345.3724,115254.2373,22.10049338914286,3500000,298.35666075342857,0.010242903130347399,low,subscribers_baseline
Starlink,4425,20200791.3696,115254.2373,28.85827338514286,3500000,389.58669069942863,0.010242903130347399,low,subscribers_baseline
Starlink,4425,73365039.396,115254.2373,104.80719913714286,3500000,1414.8971883514287,0.010242903130347399,high,subscribers_baseline
OneWeb,648,1479108.7918,787037.037,9.24442994875,800000,124.79980430812499,0.0023412350015734476,low,subscribers_baseline
OneWeb,648,2316161.6306,787037.037,14.47601019125,800000,195.426137581875,0.0023412350015734476,baseline,subscribers_baseline
OneWeb,648,2835709.4408,787037.037,17.723184005,800000,239.26298406749999,0.0023412350015734476,baseline,subscribers_baseline
OneWeb,648,1479108.7918,787037.037,9.24442994875,800000,124.79980430812499,0.0023412350015734476,low,subscribers_baseline
OneWeb,648,1479108.7918,787037.037,9.24442994875,800000,124.79980430812499,0.0023412350015734476,low,subscribers_baseline
OneWeb,648,1132742.8904,787037.037,7.079643064999999,800000,95.57518137749999,0.0023412350015734476,low,subscribers_baseline
OneWeb,648,2835709.4408,787037.037,17.723184005,800000,239.26298406749999,0.0023412350015734476,baseline,subscribers_baseline
OneWeb,648,2835709.4408,787037.037,17.723184005,800000,239.26298406749999,0.0023412350015734476,baseline,subscribers_baseline
OneWeb,648,7440368.0268,787037.037,46.5023001675,800000,627.78105226125,0.0023412350015734476,high,subscribers_baseline
OneWeb,648,1132742.8904,787037.037,7.079643064999999,800000,95.57518137749999,0.0023412350015734476,low,subscribers_baseline
OneWeb,648,1132742.8904,787037.037,7.079643064999999,800000,95.57518137749999,0.0023412350015734476,low,subscribers_baseline
OneWeb,648,1132742.8904,787037.037,7.079643064999999,800000,95.57518137749999,0.0023412350015734476,low,subscribers_baseline
